Ticker,Price,EV/EBIT,M.EBIT,Vol.(Mi)3m
TUPY3,21.52,10.056666666666667,10.253333333333334,21.94
FLRY3,14.4,10.123333333333333,15.306666666666667,32.51
ENBR3,20.5,10.236666666666666,23.24,68.54
VBBR3,16.7,10.346666666666666,2.606666666666667,192.92
RECV3,24.71,10.37,32.4,31.22
VIVT3,46.55,10.69,13.9,99.58
LOGG3,19.07,10.799999999999999,178.43999999999997,8.57
GGPS3,11.22,10.836666666666666,8.106666666666667,27.22
B3SA3,11.6,10.92,59.10666666666666,485.96
MILS3,6.41,11.106666666666667,17.220000000000002,7.8
UGPA3,12.17,11.223333333333331,12.949999999999998,99.67
LOGN3,31.6,11.406666666666666,20.013333333333335,12.76
FRAS3,9.71,11.573333333333332,8.626666666666667,4.56
EQTL3,22.87,11.79,17.76,230.86
SBFG3,19.81,11.81,13.32,28.6
POMO4,2.64,11.840000000000002,13.266666666666666,10.97
AMBP3,23.04,12.023333333333333,16.726666666666663,28.35
EMBR3,12.5,12.26,14.339999999999998,118.59
ABEV3,13.67,12.386666666666665,22.146666666666665,302.82
VITT3,9.4,12.476666666666667,18.933333333333334,3.61
HBRE3,4.6,12.636666666666665,207.87333333333333,0.26
ENEV3,14.36,12.886666666666665,29.0,99.62
IGTI11,18.3,13.093333333333334,42.38666666666666,55.14
VVEO3,13.49,13.206666666666665,11.5,3.12
ANIM3,4.46,13.299999999999999,13.573333333333332,14.71
VAMO3,12.45,13.480000000000002,19.773333333333333,35.14
CEAB3,2.45,13.953333333333333,12.686666666666666,15.08
ARZZ3,69.55,14.173333333333332,15.49,79.29
BRIT3,2.0,14.263333333333334,13.626666666666665,1.68
QUAL3,13.05,14.493333333333334,21.153333333333332,40.92
SBSP3,41.82,15.096666666666666,30.173333333333336,165.69
ELET3,44.25,15.14,26.00666666666667,580.61
HBSA3,2.37,15.543333333333331,27.566666666666666,11.68
BRFS3,14.54,15.65,6.386666666666667,150.6
SOJA3,11.3,16.076666666666664,10.653333333333334,5.0
MDIA3,25.87,16.150000000000002,8.733333333333334,34.82
AERI3,3.04,16.53333333333333,7.94,8.3
INTB3,25.71,17.12,20.073333333333334,41.38
MULT3,22.51,17.526666666666667,36.63333333333333,122.69
AURE3,13.39,17.57,35.08,45.29
AMER3,13.73,17.926666666666666,4.36,200.13
RDOR3,29.6,18.093333333333334,23.666666666666668,145.58
EMAE4,34.99,18.596666666666668,6.716666666666666,0.26
BRML3,7.67,19.13,56.133333333333326,126.2
PETZ3,10.75,19.253333333333334,5.84,129.17
ONCO3,4.59,19.493333333333336,6.04,10.33
ALPA4,19.88,20.296666666666667,14.316666666666668,88.07
SEQL3,6.16,20.343333333333334,3.9333333333333336,27.1
GRND3,7.47,21.50333333333333,21.513333333333332,14.07
RAIL3,16.63,21.683333333333334,14.446666666666667,172.04
NTCO3,14.86,23.159999999999997,3.6933333333333334,241.03
BRPR3,8.8,23.276666666666667,45.78,23.86
SOMA3,9.77,25.47,10.833333333333334,71.53
RADL3,19.85,25.58666666666667,10.62,144.13
TECN3,2.42,26.576666666666664,12.233333333333333,2.12
CYRE3,11.98,26.843333333333334,14.42,89.17
ARML3,12.7,27.186666666666667,32.596666666666664,7.07
AESB3,10.6,29.923333333333332,13.483333333333334,15.51
SQIA3,16.73,30.816666666666663,14.953333333333333,19.62
RCSL3,1.82,34.163333333333334,2.1,4.92
LVTC3,7.06,35.60666666666667,9.066666666666666,4.11
DASA3,16.38,35.843333333333334,8.5,6.62
OPCT3,1.92,37.263333333333335,10.44,3.12
COGN3,2.2,37.830000000000005,9.213333333333333,93.81
SHUL4,4.25,38.940000000000005,17.413333333333334,1.43
ELMD3,9.4,39.17333333333333,6.666666666666667,2.74
LAND3,27.49,40.22,43.03333333333333,0.91
AALR3,19.52,43.403333333333336,6.16,7.8
BOAS3,5.43,43.406666666666666,3.5533333333333332,9.06
RAPT4,9.75,47.97333333333333,8.486666666666666,23.06
DMVF3,3.99,49.06999999999999,3.286666666666667,0.44
MEGA3,10.05,52.39333333333334,46.330000000000005,22.22
TOTS3,23.98,68.40333333333332,10.013333333333334,171.11
SEER3,6.71,89.08333333333333,7.2,4.01
AZUL4,14.06,115.72999999999998,4.486666666666667,149.65
HAPV3,5.56,124.68333333333334,4.0,373.84
MGLU3,2.47,520.4266666666666,8.553333333333333,546.06
