Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
SABESP,SBSP3,53.0,11.61,21.0,200962000.0
SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.,SCAR3,14.48,18.45,47.5,200405.0
SER EDUCA,SEER3,3.64,4.54,12.9,3773780.0
SEQUOIA LOG,SEQL3,2.45,33.31,1.6,12792600.0
Springs,SGPS3,1.32,-7.08,-8.5,292605.0
TIME FOR FUN,SHOW3,2.34,1.02,14.6,775192.0
SCHULZ,SHUL4,4.37,6.62,14.5,2117880.0
SIMPAR,SIMH3,7.28,6.48,23.1,27274500.0
SLC Agricola,SLCE3,51.78,5.57,27.4,60374100.0
EDITORA SARAIVA,SLED3,6.93,-2.05,-85.0,4222.0
EDITORA SARAIVA,SLED4,1.2,-1.26,-85.0,50676.0
SMART FIT,SMFT3,16.06,140.01,2.7,18393000.0
SAO MARTINHO,SMTO3,28.39,8.85,31.4,63680500.0
SANSUY S.A. INDÚSTRIA DE PLÁSTICOS,SNSY5,3.01,-7.02,-2.5,2027.0
BOA SAFRA,SOJA3,11.21,11.33,8.2,1962560.0
GRUPO SOMA,SOMA3,8.61,15.53,10.5,73376300.0
SONDOTECNICA S/A.,SOND3,46.01,3.37,20.4,0.0
SONDOTECNICA S/A.,SOND5,31.15,1.89,20.4,212.0
SONDOTECNICA S/A.,SOND6,32.35,2.01,20.4,0.0
SINQIA,SQIA3,17.42,23.33,13.0,9772440.0
SBPAR,STBP3,8.49,12.77,28.4,44268200.0
Suzano Papel,SUZB3,46.4,6.34,40.8,304809000.0
SYN PROP TEC,SYNE3,4.04,0.82,65.0,1468600.0
TAESA,TAEE11,35.97,8.68,78.7,96251500.0
TAESA,TAEE3,11.94,8.66,78.7,3072270.0
TAESA,TAEE4,12.02,8.7,78.7,5713400.0
TAURUS ARMAS,TASA3,14.97,2.53,30.6,714117.0
TAURUS ARMAS,TASA4,15.16,2.56,30.6,10826700.0
TECNOSOLO S/A,TCNO3,1.2,-15.11,,0.0
TECNOSOLO S/A,TCNO4,0.85,-14.27,,0.0
