Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
COGNA ON,COGN3,4.22,-4.18,-70.58,147030325.0,[]
CPFL ENERGIA,CPFE3,28.71,8.73,16.88,62011873.81,[]
COPEL,CPLE3,5.79,5.36,22.77,11554779.14,[]
COPEL,CPLE6,6.38,5.36,22.77,57551829.43,[]
CR2,CRDE3,24.7,-2.70,-749.69,20102.65,[]
ATACADÃO,CRFB3,22.4,10.64,6.80,92595628.05,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG3,62.03,8.34,23.70,16774.71,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG5,71.75,8.34,23.70,963972.0,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG6,67.9,8.34,23.70,473621.52,[]
COSAN,CSAN3,23.37,27.45,18.70,149452823.33,[]
CRUZEIRO DO SUL EDUCACIONAL S.A.,CSED3,14.0,25.71,11.64,6441688.38,[]
COPASA,CSMG3,17.55,7.10,24.20,34384023.57,[]
CIA SIDERURGICA NACIONAL,CSNA3,44.92,6.12,34.92,545903532.05,[]
COSERN,CSRN3,16.8,8.84,17.01,65770.94,[]
COSERN,CSRN5,16.69,8.84,17.01,23682.67,[]
COSERN,CSRN6,16.0,8.84,17.01,23637.18,[]
KARSTEN,CTKA3,31.8,8.49,20.24,38799.7,[]
KARSTEN,CTKA4,28.22,8.49,20.24,133983.89,[]
COTEMINAS,CTNM3,11.12,11.19,6.63,3657.4,[]
COTEMINAS,CTNM4,6.57,11.19,6.63,143441.33,[]
SANTANENSE,CTSA3,2.51,28.22,3.61,84818.57,[]
SANTANENSE,CTSA4,2.0,28.22,3.61,130827.1,[]
CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,9.4,66.56,34.37,10203380.0,[]
CVC BRASIL,CVCB3,24.82,-7.60,-181.31,127693361.38,[]
CYRELA,CYRE3,23.9,4.39,58.05,147996887.43,[]
DASA,DASA3,57.75,177.18,2.55,13551207.33,[]
DIRECIONAL ENGENHARIA,DIRR3,13.64,8.70,15.49,22042953.62,[]
DOMMO ENERGIA,DMMO3,0.87,2.23,41.09,5559687.9,[]
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,DMVF3,9.5,6.290.30,0.01,2711323.67,[]
DOHLER,DOHL3,27.0,17.45,15.62,10952.23,[]
DOHLER,DOHL4,6.59,17.45,15.62,280169.62,[]
DTCOM,DTCY3,9.8,-264.19,-4.06,17413.32,[]
DURATEX,DTEX3,20.58,19.28,12.88,53345100.14,[]
ELECTRO ACO ALTONA,EALT3,15.26,8.78,12.86,23177.33,[]
ELECTRO ACO ALTONA,EALT4,7.02,8.78,12.86,432271.48,[]
ECORODOVIAS,ECOR3,12.49,15.87,21.84,56795000.76,[]
CEEE-GT,EEEL3,520.0,8.81,42.80,52000.0,[]
CEEE-GT,EEEL4,592.63,8.81,42.80,60000.0,[]
ENGIE BRASIL,EGIE3,39.79,7.78,46.31,70220785.0,[]
ELEKTRO,EKTR3,43.0,9.85,14.52,4967.5,[]
ELEKTRO,EKTR4,27.5,9.85,14.52,142987.47,[]
ELETROBRAS,ELET3,43.84,10.10,31.95,313667686.14,[]
ELETROBRAS,ELET5,64.0,10.10,31.95,54101.5,[]
ELETROBRAS,ELET6,43.58,10.10,31.95,142877343.19,[]
ELETROMIDIA S.A.,ELMD3,19.71,-25.87,-47.08,3763106.05,[]
EMAE - EMPRESA METROP.AGUAS ENERGIA,EMAE4,90.0,12.62,36.45,437443.95,[]
EMBRAER,EMBR3,17.25,-12.73,-8.38,168328478.29,[]
ENAUTA PARTICIPAÇÕES,ENAT3,15.4,9.99,36.62,23639484.86,[]
EDP Brasil,ENBR3,18.65,5.65,20.92,67336103.9,[]
ENEVA,ENEV3,18.46,25.90,33.93,97793002.29,[]
ENERGISA,ENGI11,46.47,10.00,15.04,0.51,[]
ENERGISA,ENGI3,17.28,10.00,15.04,303924.81,[]
ENERGISA,ENGI4,7.2,10.00,15.04,294481.29,[]
ENJOEI.COM.BR ATIVIDADES DE INTERNET S.A.,ENJU3,10.41,-24.87,-71.60,20728145.76,[]
ENERGISA MATO GROSSO,ENMT3,60.09,13.35,22.34,68915.0,[]
ENERGISA MATO GROSSO,ENMT4,59.95,13.35,22.34,48211.56,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA3,4.75,10.15,19.46,167663.24,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA5,5.56,10.15,19.46,60461.0,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA6,10.48,10.15,19.46,1068.0,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA7,5.38,10.15,19.46,32237.63,[]
EQUATORIAL ENERGIA,EQTL3,24.73,7.60,26.03,155496236.14,[]
MPM CORPÓREOS S.A.,ESPA3,19.2,54.68,16.41,27023994.76,[]
ESTRELA,ESTR4,36.01,5.53,9.71,34848.0,[]
ETERNIT,ETER3,31.9,5.45,32.79,104875239.19,['RECUPERAÇÃO JUDICIAL']
EUCATEX,EUCA3,21.7,7.38,12.10,161745.57,[]
EUCATEX,EUCA4,10.5,7.38,12.10,4874013.95,[]
EVEN CONSTRUTORA E INCORPORADORA,EVEN3,10.51,3.59,17.09,14778797.33,[]
EZ TEC,EZTC3,31.14,23.56,28.91,78909626.48,[]
FERBASA,FESA3,54.04,11.34,20.50,53977.05,[]
FERBASA,FESA4,39.63,11.34,20.50,21369965.0,[]
FERTILIZANTES HERINGER,FHER3,26.7,5.72,9.95,52668388.86,['RECUPERAÇÃO JUDICIAL']
FLEURY,FLRY3,26.47,17.65,18.04,48616634.57,[]
FRAS-LE,FRAS3,11.85,9.80,16.16,1870014.67,[]
METALFRIO SOLUTIONS,FRIO3,70.99,16.69,4.39,127840.5,[]
POMIFRUTAS,FRTA3,7.5,67.61,9.56,287963.52,['RECUPERAÇÃO JUDICIAL']
RIO PARANAPANEMA,GEPA3,36.61,3.57,95.97,7700.8,[]
RIO PARANAPANEMA,GEPA4,36.2,3.57,95.97,42307.7,[]
GAFISA,GFSA3,4.35,86.87,2.27,21146921.9,[]
GERDAU,GGBR3,27.74,7.78,16.26,4926545.67,[]
GERDAU,GGBR4,32.92,7.78,16.26,535001633.33,[]
GRUPO MATEUS S.A.,GMAT3,8.15,19.14,6.80,33887846.81,[]
NOTRE DAME INTERMEDICA,GNDI3,88.39,49.10,10.12,259863029.14,[]
METALURGICA GERDAU,GOAU3,14.05,3.03,16.23,1507590.52,[]
METALURGICA GERDAU,GOAU4,14.82,3.03,16.23,161374883.1,[]
GOL,GOLL4,26.82,-37.45,-52.17,159867807.33,[]
CELGPAR,GPAR3,49.1,15.33,109.84,18278.57,[]
GPC PARTICIPAÇÕES,GPCP3,40.1,6.22,19.28,9965989.76,[]
GRENDENE,GRND3,10.15,20.71,17.84,20388790.52,[]
GENERAL SHOPPING,GSHP3,42.55,119.60,16.85,112170.18,[]
GUARARAPES CONFECÇÕES,GUAR3,19.79,-107.11,-1.75,15493022.38,[]
HAGA S/A,HAGA3,3.55,3.58,27.46,127967.52,[]
HAGA S/A,HAGA4,2.97,3.58,27.46,1115846.1,[]
HAPVIDA,HAPV3,16.0,50.67,13.71,163726160.81,[]
HELBOR,HBOR3,8.85,25.82,8.60,16470063.24,[]
HBR REALTY EMPREENDIMENTOS IMOBILIARIOS,HBRE3,16.15,31.79,78.41,2866367.05,[]
HIDROVIAS DO BRASIL S.A.,HBSA3,6.87,37.84,15.99,53579099.19,[]
HABITASUL,HBTS5,31.32,8.17,44.36,82386.45,[]
HERCULES,HETA4,9.91,-1.91,-10956.88,26340.33,[]
CIA HERING,HGTX3,33.04,60.44,7.87,68366476.0,[]
HOTEIS OTHON S.A.,HOOT4,2.71,-0.36,-272.05,12068.05,['RECUPERAÇÃO JUDICIAL']
HYPERA,HYPE3,36.4,19.57,32.20,96735551.19,[]
IGB ELETRÔNICA,IGBR3,13.27,-27.60,-655.78,702786.43,['RECUPERAÇÃO JUDICIAL']
IGUATEMI EMPRESA DE SHOPPING CENTERS,IGTA3,43.25,26.51,52.11,90660195.24,[]
INEPAR,INEP3,55.78,-3.91,-4232.60,2050128.9,['RECUPERAÇÃO JUDICIAL']
INEPAR,INEP4,58.55,-3.91,-4232.60,3060860.9,['RECUPERAÇÃO JUDICIAL']
INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA,INTB3,28.4,20.58,17.62,51776396.62,[]
JALLES MACHADO S.A.,JALL3,8.84,9.87,40.67,6439931.57,[]
JB DUARTE,JBDU3,5.22,-4.54,-,1049163.81,[]
JB DUARTE,JBDU4,4.2,-4.54,-,1152157.1,[]
JBS,JBSS3,30.26,5.83,7.91,377147935.9,[]
JHSF,JHSF3,7.62,5.88,69.99,37974349.52,[]
JOSAPAR,JOPA3,32.0,6.65,7.11,16930.93,[]
JOSAPAR,JOPA4,73.93,6.65,7.11,23537.5,[]
JEREISSATI,JPSA3,29.75,13.63,48.64,8867943.48,[]
JSL S.A.,JSLG3,10.92,20.58,17.87,4176634.24,[]
KEPLER WEBER,KEPL3,53.49,12.37,12.34,10645710.71,[]
KLABIN,KLBN11,26.34,15.73,25.45,1.063,[]
KLABIN,KLBN3,5.77,15.73,25.45,1406414.48,[]
KLABIN,KLBN4,5.14,15.73,25.45,8064799.86,[]
LOJAS AMERICANAS,LAME3,18.73,31.60,5.44,78430524.9,[]
LOJAS AMERICANAS,LAME4,19.9,31.60,5.44,210898426.38,[]
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,LAVV3,7.96,7.32,31.04,9978523.29,[]
LOCAMERICA,LCAM3,27.01,17.72,17.05,64123613.76,[]
MAHLE-METAL LEVE,LEVE3,27.59,11.50,11.29,19593139.43,[]
LIGHT,LIGT3,16.35,6.71,12.79,39240561.14,[]
LINX,LINX3,37.6,-160.17,-4.79,20734806.71,[]
ELETROPAR,LIPR3,71.0,35.27,-,106712.75,[]
