Empresa,Ticker,Cotação,EV/EBIT,Margem EBIT,Volume Diário,Situação
MARCOPOLO,POMO4,2.78,40.16,2.58,13576024.45,[]
POSITIVO,POSI3,13.21,6.48,13.26,126613555.58,[]
FOCUS ENERGIA HOLDING PARTICIPAÇÕES S.A,POWE3,14.2,18.40,2.80,2534739.11,[]
PETRO RIO,PRIO3,18.82,14.10,48.67,362626464.47,[]
PRINER,PRNR3,7.95,-19.16,-6.01,2719662.24,[]
PORTOBELLO,PTBL3,14.4,16.92,10.80,54499375.55,[]
PETTENATI,PTNT3,14.25,10.89,7.77,803574.39,[]
PETTENATI,PTNT4,5.14,10.89,7.77,134499.13,[]
QUALICORP,QUAL3,28.95,13.18,32.26,81861461.39,[]
RAIA DROGASIL,RADL3,27.31,46.37,4.78,134696105.79,[]
RUMO,RAIL3,20.8,22.98,30.11,165788386.24,[]
Irani Papel e Embalagem S.A.,RANI3,7.4,9.78,18.84,21287308.24,[]
RANDON,RAPT3,12.28,5.27,20.38,272201.89,[]
RANDON,RAPT4,15.0,5.27,20.38,40684854.84,[]
RECRUSUL,RCSL3,7.48,205.39,3.60,16165663.97,[]
RECRUSUL,RCSL4,1.68,205.39,3.60,5329121.37,[]
RNI NEGÓCIOS IMOBILIÁRIOS,RDNI3,10.85,36.25,6.91,597307.97,[]
REDE D OR SÃO LUIZ S.A.,RDOR3,73.59,74.76,13.54,143623618.26,[]
REDE ENERGIA,REDE3,7.98,10.25,18.77,298028.29,[]
LOCALIZA,RENT3,63.31,26.47,20.13,310234671.53,[]
RENOVA,RNEW11,12.99,-56.49,-40.89,0.0,['RECUPERAÇÃO JUDICIAL']
RENOVA,RNEW3,4.77,-56.49,-40.89,102987.84,['RECUPERAÇÃO JUDICIAL']
RENOVA,RNEW4,4.19,-56.49,-40.89,176761.08,['RECUPERAÇÃO JUDICIAL']
INDÚSTRIAS ROMI,ROMI3,27.43,17.95,12.38,49262629.13,[]
REFINARIA DE PETROLEOS MANGUINHOS,RPMG3,4.54,-1.00,-20.06,1875043.97,['RECUPERAÇÃO JUDICIAL']
3R PETROLEUM ÓLEO E GÁS S.A,RRRP3,39.83,-47.48,-33.72,73498839.66,[]
ROSSI RESIDENCIAL,RSID3,10.44,-2.98,-320.37,1580256.95,[]
METALURGICA RIOSULENSE,RSUL4,255.0,0.94,28.53,642536.88,[]
SANEPAR,SAPR11,20.59,5.75,32.74,0.0,[]
SANEPAR,SAPR3,4.12,5.75,32.74,2773099.92,[]
SANEPAR,SAPR4,4.15,5.75,32.74,16413110.47,[]
CENTAURO,SBFG3,30.88,-84.80,-3.90,25237009.87,[]
SABESP,SBSP3,41.75,9.15,24.93,119129541.29,[]
SÃO CARLOS,SCAR3,40.61,15.00,64.47,587348.53,[]
SER EDUCACIONAL,SEER3,14.02,5.70,25.09,9213163.34,[]
SEQUOIA LOGISTICA E TRANSPORTES S.A,SEQL3,22.31,85.32,3.48,25621776.03,[]
SPRINGS,SGPS3,11.4,10.29,7.82,1552285.16,[]
TIME FOR FUN,SHOW3,5.2,-3.49,-778.33,5075114.97,[]
SCHULZ,SHUL4,10.38,8.40,14.02,5632291.58,[]
SIMPAR S.A.,SIMH3,49.4,15.23,14.96,25056488.58,[]
SLC AGRICOLA,SLCE3,48.32,9.06,25.03,72199885.08,[]
SARAIVA,SLED3,1.01,-0.85,-268.48,1003929.26,['RECUPERAÇÃO JUDICIAL']
SARAIVA,SLED4,0.55,-0.85,-268.48,1324445.74,['RECUPERAÇÃO JUDICIAL']
SMILES,SMLS3,22.68,11.36,34.48,20942218.21,[]
SÃO MARTINHO,SMTO3,32.95,10.72,35.23,33840595.74,[]
SANSUY,SNSY3,17.89,-6.51,-5.56,22897.43,[]
SANSUY,SNSY5,6.36,-6.51,-5.56,178115.21,[]
GRUPO DE MODA SOMA S.A.,SOMA3,13.59,-172.13,-2.87,47379130.82,[]
SONDOTECNICA,SOND3,40.2,4.19,29.16,13660.0,[]
SONDOTECNICA,SOND5,52.74,4.19,29.16,20370.91,[]
SONDOTECNICA,SOND6,49.48,4.19,29.16,16576.0,[]
SINQIA,SQIA3,22.63,118.75,5.62,11837540.08,[]
SANTOS BRASIL,STBP3,8.48,55.80,11.70,52715193.92,[]
SUZANO S.A.,SUZB3,62.19,14.13,33.06,452726884.37,[]
TAESA,TAEE11,39.6,5.47,92.32,0.391,[]
TAESA,TAEE3,13.22,5.47,92.32,1525798.18,[]
TAESA,TAEE4,13.2,5.47,92.32,3597484.08,[]
TAURUS ARMAS,TASA3,24.5,5.39,27.80,2357327.34,[]
TAURUS ARMAS,TASA4,24.92,5.39,27.80,54424108.24,[]
TECNOSOLO,TCNO3,2.47,-317.00,-,335850.61,['RECUPERAÇÃO JUDICIAL']
