Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
POSITIVO,POSI3,13.75,6.69,13.26,128207129.15,[]
FOCUS ENERGIA HOLDING PARTICIPAÇÕES S.A,POWE3,14.2,18.46,2.80,2509382.92,[]
PETRO RIO,PRIO3,19.33,14.48,48.67,362270753.38,[]
PORTOBELLO,PTBL3,14.02,16.59,10.80,53731523.23,[]
PETTENATI,PTNT3,14.15,10.86,7.77,785936.69,[]
QUALICORP,QUAL3,28.97,13.15,32.26,81831026.08,[]
RAIA DROGASIL,RADL3,27.32,46.39,4.78,138672690.49,[]
RUMO,RAIL3,20.85,23.01,30.11,167091719.33,[]
Irani Papel e Embalagem S.A.,RANI3,7.65,10.10,18.84,21169352.69,[]
RANDON,RAPT4,14.79,5.25,20.38,40738955.67,[]
RNI NEGÓCIOS IMOBILIÁRIOS,RDNI3,10.93,36.39,6.91,588881.13,[]
REDE D OR SÃO LUIZ S.A.,RDOR3,71.0,72.53,13.54,190702726.49,[]
REDE ENERGIA,REDE3,7.95,10.22,18.77,291344.1,[]
LOCALIZA,RENT3,61.74,25.88,20.13,318963382.21,[]
INDÚSTRIAS ROMI,ROMI3,27.15,17.85,12.38,48736071.74,[]
SABESP,SBSP3,41.95,9.17,24.93,119742281.03,[]
SÃO CARLOS,SCAR3,41.01,15.11,64.47,578282.87,[]
SER EDUCACIONAL,SEER3,14.5,5.89,25.09,9906990.38,[]
SEQUOIA LOGISTICA E TRANSPORTES S.A,SEQL3,22.74,86.61,3.48,26160890.54,[]
SPRINGS,SGPS3,11.99,10.52,7.82,1570348.26,[]
SCHULZ,SHUL4,10.28,8.34,14.02,5592378.41,[]
SIMPAR S.A.,SIMH3,49.98,15.26,14.96,25498653.0,[]
SLC AGRICOLA,SLCE3,50.15,9.38,25.03,72323987.18,[]
SMILES,SMLS3,22.7,11.37,34.48,20820254.72,[]
SÃO MARTINHO,SMTO3,33.96,10.94,35.23,33644534.15,[]
SINQIA,SQIA3,23.1,120.72,5.62,11847751.0,[]
SANTOS BRASIL,STBP3,8.55,56.38,11.70,52657260.54,[]
SUZANO S.A.,SUZB3,62.6,14.18,33.06,459475169.85,[]
TAURUS ARMAS,TASA4,24.85,5.37,27.80,53763076.21,[]
TECHNOS,TECN3,2.47,70.21,1.32,7720385.03,[]
CONSTRUTORA TENDA,TEND3,24.25,8.72,11.89,25002048.26,[]
TERRA SANTA AGRO,TESA3,44.77,8.97,16.93,1660681.44,[]
TRACK & FIELD CO S.A.,TFCO4,12.83,255.35,17.33,1459756.13,[]
TEGMA GESTÃO LOGÍSTICA,TGMA3,23.0,13.72,11.29,10291412.97,[]
TIM,TIMS3,12.04,12.04,16.63,72075644.23,[]
TOTVS,TOTS3,33.6,42.58,15.98,128152690.26,[]
TRISUL,TRIS3,10.24,9.53,23.01,11162400.13,[]
ISA CTEEP,TRPL4,26.58,4.82,118.10,36408816.64,[]
TUPY,TUPY3,24.64,16.74,5.65,36801263.21,[]
UNICASA,UCAS3,4.99,10.90,14.51,954054.51,[]
ULTRAPAR PARTICIPAÇÕES,UGPA3,19.24,18.35,2.23,110157057.51,[]
UNIPAR CARBOCLORO,UNIP6,91.01,6.33,27.88,32739287.82,[]
USIMINAS,USIM5,19.59,5.58,24.81,468205742.64,[]
VALE,VALE3,110.99,7.02,34.21,2803944844.95,[]
VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP.,VAMO3,50.75,31.22,24.23,26180992.85,[]
VIVARA,VIVA3,29.49,36.79,17.58,24055782.64,[]
TELEFÔNICA BRASIL,VIVT3,44.07,12.69,14.76,95040506.08,[]
VULCABRAS,VULC3,9.14,45.72,4.18,5559877.95,[]
VIA VAREJO,VVAR3,12.72,17.31,5.38,466775754.59,[]
WEG,WEGE3,32.81,42.67,16.94,336962909.38,[]
WHIRLPOOL,WHRL4,8.11,8.33,10.90,231332.9,[]
WIZ,WIZS3,11.82,4.71,40.75,40424958.46,[]
YDUQS,YDUQ3,33.09,49.49,6.74,76088547.05,[]
