Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
FERBASA,FESA3,54.22,10.85,20.50,45190.0,FASE OPERACIONAL
FERBASA,FESA4,36.5,10.85,20.50,16960000.0,FASE OPERACIONAL
FER HERINGER,FHER3,24.55,5.27,9.95,23660000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
FLEURY,FLRY3,26.08,17.44,18.04,48080000.0,FASE OPERACIONAL
FRAS-LE,FRAS3,11.23,9.37,16.16,2960000.0,FASE OPERACIONAL
METALFRIO,FRIO3,70.99,16.69,4.39,15970.0,FASE OPERACIONAL
POMIFRUTAS,FRTA3,7.56,67.71,9.56,286400.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
GER PARANAP,GEPA3,36.61,3.63,95.97,10060.0,FASE OPERACIONAL
GER PARANAP,GEPA4,37.4,3.63,95.97,32060.0,FASE OPERACIONAL
GAFISA,GFSA3,4.38,87.28,2.27,26230000.0,FASE OPERACIONAL
GERDAU,GGBR3,28.02,7.82,16.26,4070000.0,FASE OPERACIONAL
GERDAU,GGBR4,33.09,7.82,16.26,475200000.0,FASE OPERACIONAL
GRUPO MATEUS,GMAT3,8.1,19.02,6.77,35300000.0,FASE OPERACIONAL
INTERMEDICA,GNDI3,87.26,48.47,10.12,341810000.0,FASE OPERACIONAL
GERDAU MET,GOAU3,14.19,3.04,16.23,1020000.0,FASE OPERACIONAL
GERDAU MET,GOAU4,14.89,3.04,16.23,146810000.0,FASE OPERACIONAL
GOL,GOLL4,27.42,-6.79,-52.17,178980000.0,FASE OPERACIONAL
CELGPAR,GPAR3,55.0,17.88,86.08,3220.0,FASE OPERACIONAL
GPC PART,GPCP3,35.61,5.6,19.28,5550000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
GRENDENE,GRND3,9.6,19.35,17.84,15630000.0,FASE OPERACIONAL
GENERALSHOPP,GSHP3,43.0,119.66,16.85,48090.0,FASE OPERACIONAL
GUARARAPES,GUAR3,19.6,-106.19,-1.75,15530000.0,FASE OPERACIONAL
HAGA S/A,HAGA3,3.59,3.66,27.46,91980.0,FASE OPERACIONAL
HAGA S/A,HAGA4,3.05,3.66,27.46,659200.0,FASE OPERACIONAL
HAPVIDA,HAPV3,15.76,49.9,13.71,171530000.0,FASE OPERACIONAL
HELBOR,HBOR3,8.78,25.71,8.60,16670000.0,FASE OPERACIONAL
HBR REALTY,HBRE3,16.0,31.54,78.41,1990000.0,FASE OPERACIONAL
HIDROVIAS,HBSA3,6.69,37.25,15.99,34700000.0,FASE OPERACIONAL
HABITASUL,HBTS5,31.22,6.27,43.23,30220.0,FASE OPERACIONAL
HERCULES,HETA4,9.91,-1.91,-10655.45,49440.0,FASE OPERACIONAL
CIA HERING,HGTX3,32.49,59.4,7.87,91900000.0,FASE OPERACIONAL
HOTEIS OTHON,HOOT4,2.76,-0.36,-272.05,27580.0,FASE OPERACIONAL
HYPERA,HYPE3,36.01,19.39,32.20,96850000.0,FASE OPERACIONAL
IGB S/A,IGBR3,13.45,-27.64,-656.23,1460000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
IGUATEMI,IGTA3,43.99,26.88,52.11,86920000.0,FASE OPERACIONAL
INEPAR,INEP3,52.27,-3.83,-4232.60,1150000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
INEPAR,INEP4,57.9,-3.83,-4232.60,1720000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
INTELBRAS,INTB3,26.69,19.24,17.62,32890000.0,FASE OPERACIONAL
JALLESMACHAD,JALL3,8.76,9.81,40.66,6290000.0,FASE OPERACIONAL
J B DUARTE,JBDU3,5.2,-4.05,,370550.0,FASE OPERACIONAL
J B DUARTE,JBDU4,3.29,-4.05,,567210.0,FASE OPERACIONAL
JBS,JBSS3,30.1,5.81,7.91,399360000.0,FASE OPERACIONAL
JHSF PART,JHSF3,7.74,5.97,69.99,38620000.0,FASE OPERACIONAL
JOSAPAR,JOPA3,30.0,6.47,7.11,22060.0,FASE OPERACIONAL
JOSAPAR,JOPA4,74.88,6.47,7.11,2400.0,FASE OPERACIONAL
JEREISSATI,JPSA3,29.37,13.53,48.64,7190000.0,FASE OPERACIONAL
JSL,JSLG3,10.8,21.24,7.67,3830000.0,FASE OPERACIONAL
KEPLER WEBER,KEPL3,50.3,11.5,12.34,10170000.0,FASE OPERACIONAL
KLABIN S/A,KLBN11,26.65,16.05,25.45,201820000.0,FASE OPERACIONAL
KLABIN S/A,KLBN3,5.86,16.05,25.45,2070000.0,FASE OPERACIONAL
KLABIN S/A,KLBN4,5.21,16.05,25.45,10090000.0,FASE OPERACIONAL
LOJAS AMERIC,LAME3,18.29,30.84,5.44,62700000.0,FASE OPERACIONAL
LOJAS AMERIC,LAME4,19.38,30.84,5.44,257260000.0,FASE OPERACIONAL
LAVVI,LAVV3,7.85,7.13,31.04,11500000.0,FASE OPERACIONAL
LOCAMERICA,LCAM3,26.66,17.54,17.05,64350000.0,FASE OPERACIONAL
METAL LEVE,LEVE3,27.17,11.32,11.29,14380000.0,FASE OPERACIONAL
LIGHT S/A,LIGT3,17.33,6.92,12.79,41740000.0,FASE OPERACIONAL
LINX,LINX3,37.68,-160.53,-4.79,28280000.0,FASE OPERACIONAL
ELETROPAR,LIPR3,71.0,35.27,,26740.0,FASE OPERACIONAL
QUERO-QUERO,LJQQ3,21.37,22.97,10.09,29590000.0,FASE OPERACIONAL
LE LIS BLANC,LLIS3,3.99,-3.23,-102.79,1530000.0,FASE OPERACIONAL
