Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
ETERNIT,ETER3,31.03,8.34,20.8,83591900.0,['RECUPERAÇÃO JUDICIAL']
EUCATEX,EUCA3,21.9,8.27,15.2,308711.0,[]
EUCATEX,EUCA4,10.93,4.85,15.2,4908830.0,[]
Even,EVEN3,9.59,3.15,16.3,14074900.0,[]
EZTec,EZTC3,30.22,27.01,24.3,76116400.0,[]
FERBASA,FESA3,58.0,13.27,22.5,64193.0,[]
FERBASA,FESA4,34.83,8.21,22.5,18346600.0,[]
Fer Heringer,FHER3,23.01,5.13,9.6,28586900.0,['RECUPERAÇÃO JUDICIAL']
FLEURY,FLRY3,26.81,17.55,18.3,46241300.0,[]
FRAS-LE S.A.,FRAS3,11.27,11.93,12.7,3125500.0,[]
Metalfrio,FRIO3,70.99,22.54,3.3,24366.0,[]
POMIFRUTAS,FRTA3,7.5,-1202.67,-0.5,442921.0,['RECUPERAÇÃO JUDICIAL']
"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",GEPA3,36.61,3.72,92.7,5984.0,[]
"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",GEPA4,36.96,3.75,92.7,34077.0,[]
GAFISA,GFSA3,4.18,28.09,6.8,21559300.0,[]
GERDAU S.A.,GGBR3,27.35,7.98,14.2,4788740.0,[]
GERDAU S.A.,GGBR4,32.2,9.13,14.2,499526000.0,[]
GRUPO MATEUS,GMAT3,7.99,18.48,6.9,35796300.0,[]
INTERMEDICA,GNDI3,86.75,44.34,11.0,320588000.0,[]
METALÚRGICA GERDAU,GOAU3,13.68,3.33,14.2,1225130.0,[]
METALÚRGICA GERDAU,GOAU4,14.49,3.45,14.2,148796000.0,[]
GOL LINHAS AEREAS INTELIGENTES SA,GOLL4,25.75,-11.14,-34.9,166729000.0,[]
CELGPAR,GPAR3,58.5,,,4382.0,[]
GPC PARTICIPACOES SA,GPCP3,39.1,13.69,8.7,7021230.0,[]
GRENDENE SA,GRND3,9.23,15.45,21.3,18805800.0,[]
Generalshopp,GSHP3,43.0,169.71,11.9,57761.0,[]
GUARARAPES CONFECÇÕES,GUAR3,18.72,-39.05,-4.6,16453100.0,[]
HAGA,HAGA3,3.52,11.69,9.4,127265.0,[]
HAGA,HAGA4,2.9,9.6,9.4,976612.0,[]
HAPVIDA,HAPV3,15.63,49.83,13.6,164152000.0,[]
Helbor,HBOR3,8.38,105.5,2.0,17898600.0,[]
HBR REALTY,HBRE3,15.93,26.67,92.4,2373970.0,[]
HIDROVIAS,HBSA3,6.66,44.57,13.3,31892100.0,[]
CIA HABITASUL,HBTS5,31.22,5.13,70.4,32215.0,[]
HERCULES S/A,HETA4,10.1,-14987.8,-1.4,71867.0,[]
CIA HERING,HGTX3,29.37,165.14,2.5,123166000.0,[]
HOTEIS OTHON S.A.,HOOT4,2.73,-0.9,-259.5,40624.0,['RECUPERAÇÃO JUDICIAL']
HYPERA,HYPE3,35.62,22.68,27.3,96189000.0,[]
GRADIENTE,IGBR3,13.75,,,999179.0,['RECUPERAÇÃO JUDICIAL']
IGUATEMI,IGTA3,42.85,29.87,45.9,93563000.0,[]
INEPAR S/A,INEP3,55.11,-4.07,,1526660.0,['RECUPERAÇÃO JUDICIAL']
INEPAR S/A,INEP4,59.51,-4.19,,2199340.0,['RECUPERAÇÃO JUDICIAL']
