Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
LE LIS BLANC DEUX,LLIS3,1.97,-17.12,-12.1,1086060.0
LOG COM PROP,LOGG3,29.18,36.3,74.5,11534800.0
Log-In,LOGN3,28.5,20.8,13.4,10323700.0
LOPES BRASIL,LPSB3,4.33,12.32,19.2,6104740.0
RENNER,LREN3,29.06,14.69,16.9,341095000.0
LUPATECH,LUPA3,5.25,-26.93,-10.4,6603610.0
TREVISA INVESTIMENTOS SA,LUXM4,83.99,18.06,18.5,96459.0
WDC NETWORKS,LVTC3,16.48,3.85,25.0,4264210.0
LOCAWEB,LWSA3,10.51,293.35,2.0,154009000.0
CIA MARCOPOLO,MAPT3,37.0,-217.97,,0.0
CIA MARCOPOLO,MAPT4,19.75,-116.35,,955.0
MATER DEI,MATD3,16.4,22.56,26.4,9522880.0
MOBLY,MBLY3,6.07,-7.15,-11.0,3945420.0
M.DIASBRANCO,MDIA3,24.86,19.92,5.5,49016700.0
MOURA DUBEUX,MDNE3,6.8,5.85,14.3,1299840.0
IMC S/A,MEAL3,3.02,-33.78,-1.8,4714580.0
MELNICK,MELK3,4.2,6.13,10.3,1436670.0
MANGELS,MGEL4,17.76,8.12,11.2,37107.0
MAGAZ LUIZA,MGLU3,7.35,198.19,0.7,831663000.0
MILLS,MILS3,7.7,12.02,21.2,8831220.0
MULTILASER,MLAS3,5.94,11.3,8.2,13411300.0
MUNDIAL S/A,MNDL3,28.75,4.25,12.5,66176.0
MINUPAR,MNPR3,6.9,1.03,14.8,97987.0
MONTEIRO ARANHA,MOAR3,450.0,-165.88,,257039.0
MOSAICO SA,MOSI3,8.24,42.98,5.3,4436940.0
MOVIDA,MOVI3,18.18,7.55,33.7,44281000.0
Marfrig,MRFG3,21.29,2.87,15.2,130291000.0
MRV,MRVE3,13.12,15.28,9.8,80667100.0
MELHORAMENTOS,MSPA3,50.01,-13.46,-20.6,600.0
MELHORAMENTOS,MSPA4,47.0,-12.81,-20.6,907.0
IGUAÇU,MTIG4,47.0,-5.94,-19.4,3872.0
MITRE REALTY,MTRE3,6.46,11.59,8.1,3864430.0
METISA,MTSA4,39.24,4.84,12.8,72453.0
Multiplan,MULT3,25.38,24.16,56.2,133598000.0
WETZEL S.A.,MWET3,20.5,13.37,3.0,299.0
WETZEL S.A.,MWET4,15.81,12.05,3.0,72991.0
IOCHPE-MAXION,MYPK3,12.72,6.64,7.0,22736500.0
NEOENERGIA,NEOE3,17.3,6.09,20.5,20946000.0
NEOGRID,NGRD3,2.75,14.56,12.2,3597470.0
GETNINJAS,NINJ3,4.3,1.51,-82.2,1802990.0
NORDON INDS METALURGICAS SA,NORD3,9.88,-97.32,-53.5,10421.0
GRUPO NATURA,NTCO3,28.05,20.7,5.5,328718000.0
NUTRIPLANT,NUTR3,253.0,7.7,4.4,0.0
CONSERVAS ODERICH SA,ODER4,190.0,11.12,31.9,0.0
ODONTOPREV,ODPV3,12.49,10.73,31.9,17811900.0
OUROFINO S/A,OFSA3,25.0,10.9,15.9,229109.0
OI,OIBR3,0.83,-9.62,-174.5,77851700.0
OI,OIBR4,1.4,-10.69,-174.5,1869940.0
ONCOCLINICAS,ONCO3,10.8,31.9,6.7,9672300.0
OCEANPACT,OPCT3,2.72,27.16,5.3,5451350.0
ORIZON,ORVR3,31.25,34.64,18.5,14188500.0
OSX BRASIL,OSXB3,6.99,-74.97,-241.1,100013.0
IHPARDINI,PARD3,20.1,7.13,19.1,5504330.0
PANATLANTICA,PATI3,75.0,5.57,13.1,2051.0
PANATLANTICA,PATI4,64.21,4.83,13.1,3479.0
PÃO DE AÇÚCAR,PCAR3,25.12,2.1,7.0,58232100.0
PDG REALT,PDGR3,1.63,-17.58,-14.7,1887870.0
PADTEC,PDTC3,5.13,14.2,8.7,406220.0
CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA,PEAB3,65.0,-44.53,-43.4,1972.0
CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA,PEAB4,83.0,-62.31,-43.4,4579.0
PETROBRAS,PETR3,35.23,3.81,42.1,660337000.0
PETROBRAS,PETR4,33.01,3.66,42.1,2419460000.0
PETZ,PETZ3,19.15,40.21,9.9,139985000.0
