Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
NEOGRID,NGRD3,6.74,37.05,16.8,20512700.0,[]
IOCHPE-MAXION,MYPK3,16.9,37.94,1.8,29229800.0,[]
MOSAICO SA,MOSI3,19.91,38.17,21.6,31001700.0,[]
ALPARGATAS,ALPA4,44.62,39.67,18.3,72628600.0,[]
PADTEC,PDTC3,7.33,42.15,8.4,2921890.0,[]
PANVEL FARMÁCIAS,PNVL3,19.92,44.32,2.6,16872900.0,[]
INTERMEDICA,GNDI3,87.09,44.52,11.0,324638000.0,[]
HIDROVIAS,HBSA3,6.65,44.53,13.3,32099200.0,[]
PENALTY,CAMB3,5.17,44.84,4.3,573479.0,[]
RAIADROGASIL,RADL3,27.25,45.72,4.8,137637000.0,[]
YDUQS PART,YDUQ3,31.02,47.84,6.6,74796200.0,[]
ESPACOLASER,ESPA3,17.7,50.19,16.5,20815600.0,[]
HAPVIDA,HAPV3,15.76,50.25,13.6,164750000.0,[]
LINX,LINX3,37.49,51.62,14.8,16804100.0,[]
EMBRAER,EMBR3,16.85,53.46,2.0,177079000.0,[]
MILLS,MILS3,7.76,54.44,6.2,18610900.0,[]
LOJAS MARISA,AMAR3,6.59,56.36,2.6,42560700.0,[]
ESTAPAR,ALPK3,8.3,61.76,8.7,381998.0,[]
PETZ,PETZ3,22.21,62.54,8.8,84018600.0,[]
BOA VISTA,BOAS3,10.62,67.67,17.8,11827400.0,[]
REDE D OR,RDOR3,73.5,67.72,14.9,141722000.0,[]
RENNER,LREN3,46.0,67.95,8.6,431026000.0,[]
SBPAR,STBP3,8.48,70.83,9.2,51116500.0,[]
ALLIAR,AALR3,10.78,85.33,2.2,8630900.0,[]
SEQUOIA LOG,SEQL3,22.36,88.8,3.3,25006300.0,[]
B2W - COMPANHIA GLOBAL DO VAREJO,BTOW3,57.99,90.57,2.9,243505000.0,[]
RECRUSUL,RCSL4,1.68,92.39,3.6,5471360.0,[]
OCEANPACT,OPCT3,7.83,94.44,2.6,10820000.0,[]
AREZZO CO,ARZZ3,86.1,98.54,5.1,53825800.0,[]
Helbor,HBOR3,8.61,107.08,2.0,17998600.0,[]
SINQIA,SQIA3,22.62,118.7,5.6,12399500.0,[]
MAGAZ LUIZA,MGLU3,19.67,145.38,2.7,527654000.0,[]
CIA HERING,HGTX3,30.47,171.59,2.5,123668000.0,[]
MELIUZ,CASH3,37.59,189.91,16.4,103298000.0,[]
DIAGNOSTICOS DA AMERICA SA,DASA3,58.0,241.86,1.9,20910600.0,[]
TRACK FIELD,TFCO4,12.58,248.79,17.4,1439160.0,[]
LOCAWEB,LWSA3,25.8,309.0,7.6,223235000.0,[]
GRUPO SOMA,SOMA3,13.59,4650.9,0.1,45804200.0,[]
RNI,RDNI3,10.85,39881.0,0.0,562583.0,[]
